
======================================================================
  Arbitrage Paper Trading System
  Exchanges: binance, kraken, coinbase
  Symbols: BTC-USD, ETH-USD, SOL-USD
  Redis: connected
  Database: connected
  API Server: http://localhost:8000
  Starting Balance: $10,000.00
  Press Ctrl+C to stop
======================================================================

[10:15:23] Messages: 8800 (binance=8294  kraken=11  coinbase=495) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:15:23] Messages: 9000 (binance=8490  kraken=12  coinbase=498) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:15:24] Messages: 9200 (binance=8678  kraken=12  coinbase=510) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:15:25] Messages: 9400 (binance=8855  kraken=13  coinbase=532) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:15:26] Messages: 9600 (binance=9038  kraken=13  coinbase=549) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:15:27] Messages: 9800 (binance=9236  kraken=13  coinbase=551) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:15:27] Messages: 10000 (binance=9424  kraken=13  coinbase=563) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:15:28] Messages: 10200 (binance=9615  kraken=14  coinbase=571) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:15:28] Messages: 10400 (binance=9813  kraken=14  coinbase=573) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:15:28] Messages: 10600 (binance=10013  kraken=14  coinbase=573) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:15:28] Messages: 10800 (binance=10210  kraken=14  coinbase=576) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:15:29] Messages: 11000 (binance=10399  kraken=14  coinbase=587) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:15:29] Messages: 11200 (binance=10597  kraken=14  coinbase=589) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:15:29] Messages: 11400 (binance=10795  kraken=14  coinbase=591) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:15:30] Messages: 11600 (binance=10986  kraken=14  coinbase=600) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:15:31] Messages: 11800 (binance=11174  kraken=14  coinbase=612) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:15:31] Messages: 12000 (binance=11363  kraken=14  coinbase=623) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:15:31] Messages: 12200 (binance=11561  kraken=14  coinbase=625) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:15:33] Messages: 12400 (binance=11742  kraken=14  coinbase=644) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:15:34] Messages: 12600 (binance=11927  kraken=14  coinbase=659) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:15:35] Messages: 12800 (binance=12121  kraken=14  coinbase=665) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:15:35] Messages: 13000 (binance=12316  kraken=14  coinbase=670) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
