timestamp_utc,symbol,exchange,mid_price,best_bid,best_ask
2026-03-11T15:35:51.370+00:00,BTC-USD,coinbase,69990.39499999999,69990.39,69990.4
2026-03-11T15:35:51.371+00:00,ETH-USD,coinbase,2039.435,2039.43,2039.44
2026-03-11T15:35:51.371+00:00,SOL-USD,coinbase,85.055,85.05,85.06
2026-03-11T15:35:51.594+00:00,SOL-USD,kraken,85.055,85.05,85.06
2026-03-11T15:35:51.594+00:00,ETH-USD,kraken,2039.5349999999999,2039.22,2039.85
2026-03-11T15:35:51.595+00:00,ETH-USD,coinbase,2039.5149999999999,2039.51,2039.52
2026-03-11T15:35:51.595+00:00,BTC-USD,coinbase,69993.595,69993.59,69993.6
2026-03-11T15:35:51.751+00:00,BTC-USD,coinbase,69993.595,69993.59,69993.6
2026-03-11T15:35:51.810+00:00,ETH-USD,coinbase,2039.5949999999998,2039.59,2039.6
2026-03-11T15:35:51.810+00:00,ETH-USD,coinbase,2039.5949999999998,2039.59,2039.6
2026-03-11T15:35:51.830+00:00,BTC-USD,coinbase,69993.595,69993.59,69993.6
2026-03-11T15:35:51.852+00:00,SOL-USD,coinbase,85.055,85.05,85.06
2026-03-11T15:35:51.943+00:00,BTC-USD,coinbase,69993.595,69993.59,69993.6
2026-03-11T15:35:52.119+00:00,ETH-USD,coinbase,2039.5949999999998,2039.59,2039.6
2026-03-11T15:35:52.119+00:00,ETH-USD,coinbase,2039.5949999999998,2039.59,2039.6
2026-03-11T15:35:52.120+00:00,BTC-USD,coinbase,69990.75,69990.39,69991.11
2026-03-11T15:35:52.120+00:00,SOL-USD,coinbase,85.055,85.05,85.06
2026-03-11T15:35:52.199+00:00,BTC-USD,coinbase,69990.75,69990.39,69991.11
2026-03-11T15:35:52.287+00:00,ETH-USD,coinbase,2039.505,2039.47,2039.54
2026-03-11T15:35:52.321+00:00,BTC-USD,coinbase,69990.39499999999,69990.39,69990.4
2026-03-11T15:35:52.350+00:00,SOL-USD,coinbase,85.055,85.05,85.06
2026-03-11T15:35:52.426+00:00,BTC-USD,coinbase,69990.39499999999,69990.39,69990.4
2026-03-11T15:35:52.532+00:00,ETH-USD,coinbase,2039.505,2039.5,2039.51
2026-03-11T15:35:52.643+00:00,BTC-USD,coinbase,69990.39499999999,69990.39,69990.4
2026-03-11T15:35:52.644+00:00,SOL-USD,coinbase,85.055,85.05,85.06
2026-03-11T15:35:52.784+00:00,ETH-USD,coinbase,2039.5949999999998,2039.59,2039.6
2026-03-11T15:35:52.799+00:00,ETH-USD,coinbase,2039.5949999999998,2039.59,2039.6
2026-03-11T15:35:52.822+00:00,BTC-USD,coinbase,69993.595,69993.59,69993.6
2026-03-11T15:35:52.826+00:00,SOL-USD,coinbase,85.055,85.05,85.06
2026-03-11T15:35:53.073+00:00,BTC-USD,coinbase,69993.595,69993.59,69993.6
2026-03-11T15:35:53.321+00:00,BTC-USD,coinbase,69997.185,69997.18,69997.19
2026-03-11T15:35:53.443+00:00,BTC-USD,coinbase,69997.185,69997.18,69997.19
2026-03-11T15:35:53.534+00:00,ETH-USD,coinbase,2039.5949999999998,2039.59,2039.6
2026-03-11T15:35:53.572+00:00,BTC-USD,coinbase,69999.045,69999.04,69999.05
2026-03-11T15:35:53.600+00:00,SOL-USD,coinbase,85.07499999999999,85.07,85.08
2026-03-11T15:35:53.824+00:00,SOL-USD,coinbase,85.07499999999999,85.07,85.08
2026-03-11T15:35:53.824+00:00,ETH-USD,coinbase,2039.6350000000002,2039.63,2039.64
2026-03-11T15:35:53.824+00:00,ETH-USD,coinbase,2039.6350000000002,2039.63,2039.64
2026-03-11T15:35:53.824+00:00,BTC-USD,coinbase,69997.185,69997.18,69997.19
2026-03-11T15:35:53.849+00:00,SOL-USD,coinbase,85.065,85.06,85.07
2026-03-11T15:35:53.948+00:00,BTC-USD,coinbase,69997.185,69997.18,69997.19
2026-03-11T15:35:54.033+00:00,ETH-USD,coinbase,2039.755,2039.75,2039.76
2026-03-11T15:35:54.075+00:00,BTC-USD,coinbase,69999.995,69999.99,70000.0
2026-03-11T15:35:54.104+00:00,SOL-USD,coinbase,85.065,85.06,85.07
2026-03-11T15:35:54.217+00:00,BTC-USD,coinbase,69999.995,69999.99,70000.0
2026-03-11T15:35:54.322+00:00,BTC-USD,coinbase,70004.405,70004.4,70004.41
2026-03-11T15:35:54.350+00:00,SOL-USD,coinbase,85.07499999999999,85.07,85.08
2026-03-11T15:35:54.445+00:00,BTC-USD,coinbase,70004.405,70004.4,70004.41
2026-03-11T15:35:54.534+00:00,ETH-USD,coinbase,2039.755,2039.75,2039.76
2026-03-11T15:35:54.570+00:00,BTC-USD,coinbase,70003.215,70003.21,70003.22
2026-03-11T15:35:54.740+00:00,BTC-USD,coinbase,70003.215,70003.21,70003.22
2026-03-11T15:35:55.077+00:00,BTC-USD,coinbase,70003.215,70003.21,70003.22
2026-03-11T15:35:55.321+00:00,BTC-USD,coinbase,70003.215,70003.21,70003.22
2026-03-11T15:35:55.349+00:00,SOL-USD,coinbase,85.065,85.06,85.07
2026-03-11T15:35:55.534+00:00,ETH-USD,coinbase,2039.755,2039.75,2039.76
2026-03-11T15:35:55.540+00:00,ETH-USD,coinbase,2039.755,2039.75,2039.76
2026-03-11T15:35:55.572+00:00,BTC-USD,coinbase,70000.055,70000.05,70000.06
2026-03-11T15:35:55.598+00:00,SOL-USD,coinbase,85.065,85.06,85.07
2026-03-11T15:35:55.696+00:00,BTC-USD,coinbase,70000.055,70000.05,70000.06
2026-03-11T15:35:55.790+00:00,ETH-USD,coinbase,2039.755,2039.75,2039.76
2026-03-11T15:35:55.821+00:00,BTC-USD,coinbase,70000.34,70000.1,70000.58
2026-03-11T15:35:55.850+00:00,SOL-USD,coinbase,85.065,85.06,85.07
2026-03-11T15:35:55.947+00:00,BTC-USD,coinbase,70000.34,70000.1,70000.58
2026-03-11T15:35:56.035+00:00,ETH-USD,coinbase,2039.755,2039.75,2039.76
